Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
369;TOP;TES;T1;Zeus;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:30:34;Sejuani;Yone;Aurora;Ashe;Renekton;Jax;Win;14;6;3;0;16;1;3;5;2;240;9;0;7.9;11167;365;0.203;28;9;10;3;3;0.92;0.29;0.1;0.33;0.104;8217;6134;1955;128;269;0.141;0.2;0.429;0;0;0;0;0;-1040;12;-112;0;0;1741;1741;8228;0;19715;0;3;82;24908;74;4;19;0;0
Tian;JUNGLE;TES;T1;Oner;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:30:34;Orianna;Tristana;Jhin;Neeko;Skarner;Wukong;Win;14;6;3;0;14;2;1;12;14;176;156;0;5.8;9988;327;0.182;41;13;10;12;11;1.34;0.43;0.39;0.33;0.152;10180;5918;3710;552;333;0.175;0.46;1;0;0;0;0;0;-406;-12;-195;0;0;1690;1690;13798;0;48630;0;34;612;31987;33;13;32;50;0
Creme;MID;TES;T1;Faker;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:30:34;Gnar;Ziggs;Renekton;Jax;Aurora;Neeko;Win;14;6;3;0;15;2;1;10;12;227;0;0;7.4;11154;365;0.203;46;8;13;4;4;1.5;0.26;0.13;0.43;0.171;20007;777;18082;1148;655;0.344;0.39;0.857;0;1;0;0;0;-433;-15;-140;0;0;3532;3532;3560;0;6277;0;10;219;12155;28;7;24;300;0
JackeyLove;ADCARRY;TES;T1;Gumayusi;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:30:34;Renata_Glasc;Poppy;Rell;Rakan;Jhin;Ashe;Win;14;6;3;0;16;8;2;5;6.5;301;14;0;9.8;15167;496;0.276;40;15;13;7;7;1.31;0.49;0.23;0.43;0.149;16488;11009;5303;176;539;0.284;0.43;0.929;0;2;0;1;0;650;15;707;1;0;8536;8536;2191;0;3458;0;20;148;6615;56;8;27;400;400
meiko;SUPPORT;TES;T1;Keria;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:30:34;Viego;Alistar;Skarner;Wukong;Rell;Rakan;Win;14;6;3;0;12;1;3;13;4.7;47;0;0;1.5;7510;246;0.137;114;51;28;15;13;3.73;1.67;0.49;0.92;0.424;3218;477;2103;638;105;0.055;0.46;1;0;0;0;0;0;-110;4;484;1;0;517;517;382;136;13136;0;25;71;11622;55;17;33;0;0
Zeus;TOP;T1;TES;369;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:30:34;Yone;Sejuani;Ashe;Aurora;Jax;Renekton;Loss;9;2;2;0;15;3;2;3;3;212;12;0;6.9;11457;375;0.224;29;14;3;6;3;0.95;0.46;0.2;0.1;0.108;11005;5627;5294;84;360;0.206;0.2;0.667;0;1;0;0;0;1040;-12;112;0;0;5327;5327;1973;0;14660;0;6;226;17341;39;7;29;400;200
Oner;JUNGLE;T1;TES;Tian;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:30:34;Tristana;Orianna;Neeko;Jhin;Wukong;Skarner;Loss;9;2;2;0;13;2;3;5;2.3;203;184;0;6.6;10091;330;0.197;50;9;11;9;7;1.64;0.29;0.29;0.36;0.186;7547;6770;573;204;247;0.141;0.23;0.778;0;0;0;0;0;406;12;195;0;0;895;895;14155;0;24420;0;10;168;29087;61;11;30;0;0
Faker;MID;T1;TES;Creme;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:30:34;Ziggs;Gnar;Jax;Renekton;Neeko;Aurora;Loss;9;2;2;0;14;1;3;6;2.3;229;1;0;7.5;9836;322;0.192;26;6;6;3;3;0.85;0.2;0.1;0.2;0.097;12376;390;11986;0;405;0.232;0.23;0.778;0;0;0;0;0;433;15;140;0;0;500;500;417;0;6361;0;33;247;13637;111;5;20;0;100
Gumayusi;ADCARRY;T1;TES;JackeyLove;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:30:34;Poppy;Renata_Glasc;Rakan;Rell;Ashe;Jhin;Loss;9;2;2;0;15;3;3;6;3;298;4;0;9.7;13084;428;0.255;42;12;12;5;4;1.37;0.39;0.16;0.39;0.156;18684;17243;1285;156;611;0.35;0.29;1;0;0;0;0;0;-650;-15;-707;-1;0;4436;4436;2962;0;5951;0;33;892;11840;48;7;26;0;450
Keria;SUPPORT;T1;TES;meiko;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:30:34;Alistar;Viego;Wukong;Skarner;Rakan;Rell;Loss;9;2;2;0;10;0;3;8;2.7;34;0;0;1.1;6786;222;0.132;122;84;12;17;15;3.99;2.75;0.56;0.39;0.454;3731;648;3083;0;122;0.07;0.26;0.889;0;0;0;0;0;110;-4;-484;-1;0;2033;2033;4874;2170;14743;1759;21;75;13128;85;19;31;0;0
Kiin;TOP;GEN;WBG;Breathe;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:45:13;Orianna;Ziggs;Smolder;Poppy;Rumble;Jax;Win;19;9;5;1;18;1;2;8;4.5;354;28;0;7.8;16746;370;0.198;40;17;5;11;11;0.88;0.38;0.24;0.11;0.084;25825;269;23610;1946;571;0.229;0.2;0.474;0;0;0;0;0;-616;-12;285;1;0;4057;4057;2580;0;36733;0;14;429;22241;107;13;34;50;0
Canyon;JUNGLE;GEN;WBG;Tarzan;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:45:13;Renekton;Aurora;Maokai;Jax;Maokai;Ivern;Win;19;9;5;1;17;1;2;13;7;203;175;0;4.5;13650;302;0.161;59;21;14;18;17;1.3;0.46;0.4;0.31;0.123;11558;751;10288;519;256;0.102;0.31;0.737;0;0;0;0;0;-522;-2;-230;0;0;2451;2451;29755;0;66748;1537;64;623;45609;72;20;35;0;0
Chovy;MID;GEN;WBG;xiaohu;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:45:13;Ashe;Yone;Rumble;Lucian;Smolder;Lucian;Win;19;9;5;1;18;9;1;7;16;452;22;0;10;22303;493;0.264;81;20;27;4;4;1.79;0.44;0.09;0.6;0.169;44681;27414;9336;7931;988;0.395;0.35;0.842;0;3;0;0;0;-50;-6;173;1;0;12506;12506;8519;0;26900;0;16;357;21283;61;7;31;450;700
Peyz;ADCARRY;GEN;WBG;Light;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:45:13;Nami;Blitzcrank;Kalista;Jinx;Kalista;Jinx;Win;19;9;5;1;18;7;0;8;Perfect_KDA;423;51;0;9.4;20484;453;0.242;78;23;19;10;10;1.73;0.51;0.22;0.42;0.163;21453;16297;2937;2219;474;0.19;0.33;0.789;1;0;0;0;0;-315;-19;-1046;0;0;5992;5992;11993;0;25983;0;13;628;20160;0;13;36;550;0
Lehends;SUPPORT;GEN;WBG;Crisp;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:45:13;Nidalee;Jhin;Renata_Glasc;Ivern;Renata_Glasc;Poppy;Win;19;9;5;1;15;1;5;14;3;46;0;0;1;11390;252;0.135;221;151;29;35;35;4.89;3.34;0.77;0.64;0.461;9457;822;2826;5809;209;0.084;0.33;0.789;0;0;0;0;0;473;-10;-179;0;0;3165;3165;1583;0;20341;4338;13;216;22559;168;38;55;250;0
Breathe;TOP;WBG;GEN;Kiin;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:45:13;Ziggs;Orianna;Poppy;Smolder;Jax;Rumble;Loss;10;4;2;1;18;2;4;5;1.8;379;12;0;8.4;17118;379;0.222;69;26;13;9;8;1.53;0.58;0.2;0.29;0.145;12723;5407;6804;512;281;0.15;0.15;0.7;0;0;0;0;0;616;12;-285;-1;0;5563;5563;6570;0;36350;0;17;274;33967;150;12;33;0;150
Tarzan;JUNGLE;WBG;GEN;Canyon;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:45:13;Aurora;Renekton;Jax;Maokai;Ivern;Maokai;Loss;10;4;2;1;17;1;4;8;2.3;216;186;0;4.8;13504;299;0.175;85;21;25;20;19;1.88;0.46;0.44;0.55;0.178;7314;1256;4663;1395;162;0.086;0.2;0.9;0;0;0;0;0;522;2;230;0;0;50;50;13390;5141;18801;13999;57;301;22038;145;21;41;0;0
xiaohu;MID;WBG;GEN;Chovy;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:45:13;Yone;Ashe;Lucian;Rumble;Lucian;Smolder;Loss;10;4;2;1;18;4;4;5;2.3;414;36;0;9.2;18239;403;0.236;68;20;33;4;4;1.5;0.44;0.09;0.73;0.143;31206;25434;5110;662;690;0.367;0.2;0.9;0;0;0;0;0;50;6;-173;-1;0;3399;3399;6451;0;18313;0;3;233;26493;170;7;25;0;550
Light;ADCARRY;WBG;GEN;Peyz;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:45:13;Blitzcrank;Nami;Jinx;Kalista;Jinx;Kalista;Loss;10;4;2;1;18;3;2;6;4.5;457;28;0;10.1;19081;422;0.247;49;13;26;4;4;1.08;0.29;0.09;0.58;0.103;30992;28716;1576;700;685;0.365;0.2;0.9;0;0;0;0;0;315;19;1046;0;0;1262;1262;8090;0;15154;0;23;136;19788;53;7;27;700;600
Crisp;SUPPORT;WBG;GEN;Lehends;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:45:13;Jhin;Nidalee;Ivern;Renata_Glasc;Poppy;Renata_Glasc;Loss;10;4;2;1;14;0;5;6;1.2;51;0;0;1.1;9204;204;0.119;206;125;21;34;32;4.56;2.76;0.75;0.46;0.432;2707;1551;648;508;60;0.032;0.13;0.6;0;0;0;0;0;-473;10;179;0;0;595;595;1651;0;25953;1196;12;119;22119;120;36;55;0;0
Oscarinin;TOP;FNC;DK;kingen;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:36;Vi;Orianna;Yone;Skarner;Renekton;Gnar;Loss;11;4;2;2;17;0;4;4;1;266;8;0;7.5;12055;339;0.186;58;13;23;8;8;1.63;0.37;0.22;0.65;0.185;8307;7079;1144;84;233;0.104;0.11;0.364;0;0;0;0;0;175;23;1219;1;0;1686;1686;6945;0;35836;0;13;252;37166;97;9;29;0;0
Razork;JUNGLE;FNC;DK;Lucid;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:36;Ziggs;Ivern;Zyra;Gnar;Zyra;Skarner;Loss;11;4;2;2;16;2;3;7;3;245;210;0;6.9;12977;365;0.201;82;31;19;4;4;2.3;0.87;0.11;0.53;0.262;25212;968;20650;3594;708;0.316;0.25;0.818;1;0;0;0;0;-512;16;94;0;1;1920;1920;8403;0;8779;0;45;729;20557;101;6;25;300;0
Humanoid;MID;FNC;DK;ShowMaker;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:36;Aurora;Smolder;Renekton;Ezreal;Yone;LeBlanc;Loss;11;4;2;2;18;2;4;6;2;320;28;0;9;14622;411;0.226;32;13;8;3;3;0.9;0.37;0.08;0.22;0.102;21021;14581;3930;2510;590;0.264;0.22;0.727;0;0;0;0;0;-120;-12;-570;-1;0;5848;5848;11648;0;38506;0;25;217;36114;134;5;25;200;150
Noah;ADCARRY;FNC;DK;Aiming;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:36;Syndra;Ashe;Rell;LeBlanc;Kaisa;Ezreal;Loss;11;4;2;2;18;7;2;1;4;356;18;0;10;16765;471;0.259;42;15;12;3;3;1.18;0.42;0.08;0.34;0.134;21009;6129;14778;102;590;0.264;0.22;0.727;1;1;1;0;0;-647;-10;202;0;0;1032;1032;4470;0;12180;0;1;71;13679;28;4;24;500;700
Jun;SUPPORT;FNC;DK;Moham;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:36;Leona;Kalista;Kaisa;Braum;Rell;Braum;Loss;11;4;2;2;13;0;5;9;1.8;21;0;0;0.6;8263;232;0.128;99;58;5;19;17;2.78;1.63;0.53;0.14;0.316;4171;480;3031;660;117;0.052;0.25;0.818;0;0;0;0;0;-488;-8;186;0;0;0;0;1744;202;20507;838;28;54;16048;123;21;36;0;0
kingen;TOP;DK;FNC;Oscarinin;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:36;Orianna;Vi;Skarner;Yone;Gnar;Renekton;Win;18;7;4;0;18;3;2;11;7;275;16;0;7.7;15104;424;0.228;49;16;15;9;9;1.38;0.45;0.25;0.42;0.157;23814;17668;5788;358;669;0.247;0.39;0.778;0;0;0;0;0;-175;-23;-1219;-1;0;6085;6085;2268;0;26340;0;24;434;24219;85;10;31;700;0
Lucid;JUNGLE;DK;FNC;Razork;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:36;Ivern;Ziggs;Gnar;Zyra;Skarner;Zyra;Win;18;7;4;0;16;4;3;8;4;199;185;0;5.6;11599;326;0.175;47;14;9;13;13;1.32;0.39;0.37;0.25;0.15;9943;5989;3656;298;279;0.103;0.34;0.667;0;0;0;0;0;512;-16;-94;0;0;842;842;14407;0;60654;0;28;750;39154;120;14;30;0;400
ShowMaker;MID;DK;FNC;Humanoid;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:36;Smolder;Aurora;Ezreal;Renekton;LeBlanc;Yone;Win;18;7;4;0;18;6;1;8;14;300;0;0;8.4;15441;434;0.233;54;23;9;10;9;1.52;0.65;0.28;0.25;0.173;37681;1998;33336;2347;1058;0.39;0.39;0.778;0;0;0;0;0;120;12;570;1;0;4418;4418;6128;1822;10533;0;13;81;20301;52;12;35;100;300
Aiming;ADCARRY;DK;FNC;Noah;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:36;Ashe;Syndra;LeBlanc;Rell;Ezreal;Kaisa;Win;18;7;4;0;17;5;3;5;3.3;368;20;0;10.3;16090;452;0.243;31;13;7;4;4;0.87;0.37;0.11;0.2;0.099;19341;14382;4559;400;543;0.2;0.28;0.556;0;0;0;0;0;647;10;-202;0;0;9362;9362;8391;0;12804;0;2;162;20240;129;6;26;50;500
Moham;SUPPORT;DK;FNC;Jun;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:36;Kalista;Leona;Braum;Kaisa;Braum;Rell;Win;18;7;4;0;13;0;3;10;3.3;41;0;0;1.2;8032;226;0.121;132;79;20;22;20;3.71;2.22;0.62;0.56;0.422;5773;597;4736;440;162;0.06;0.28;0.556;0;0;0;0;0;488;8;-186;0;0;2878;2878;442;0;15571;51;31;146;17339;98;24;37;0;0
Impact;TOP;TL;LNG;Zika;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Blue;00:34:33;Yone;Ziggs;Skarner;Rumble;Jax;Rumble;Loss;9;6;2;1;17;4;3;2;2;279;0;0;8.1;14343;415;0.242;35;20;3;6;6;1.01;0.58;0.17;0.09;0.116;11378;7006;4372;0;329;0.164;0.17;0.667;0;0;1;0;0;-505;-13;-548;-1;0;5092;5092;5025;0;28768;0;9;115;25587;92;8;33;400;50
UmTi;JUNGLE;TL;LNG;WeiWei;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Blue;00:34:33;Poppy;Aurora;Jax;Jhin;Skarner;Sejuani;Loss;9;6;2;1;14;2;3;2;1.3;189;165;0;5.5;11269;326;0.19;55;11;16;10;9;1.59;0.32;0.29;0.46;0.183;9811;7586;1981;244;284;0.141;0.12;0.444;0;0;0;0;0;-10;-4;-344;0;0;23;23;14567;0;56671;0;25;575;36430;89;12;30;350;100
APA;MID;TL;LNG;Scout;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Blue;00:34:33;Renekton;Lucian;Kaisa;Tristana;Neeko;Tristana;Loss;9;6;2;1;16;2;5;6;1.6;263;2;0;7.6;12743;369;0.215;42;18;4;4;4;1.22;0.52;0.12;0.12;0.14;18629;740;17814;75;539;0.268;0.23;0.889;0;0;0;0;0;730;29;1833;1;0;4367;4367;1931;0;9793;0;31;196;18988;167;7;24;0;50
Yeon;ADCARRY;TL;LNG;GALA;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Blue;00:34:33;Maokai;Taliyah;Neeko;Rell;Kaisa;Jhin;Loss;9;6;2;1;17;1;3;6;2.3;319;6;0;9.2;13506;391;0.228;53;14;16;5;4;1.53;0.41;0.14;0.46;0.176;26506;10798;15583;125;767;0.382;0.2;0.778;0;0;0;0;0;-831;-1;1046;1;0;4737;4737;5174;0;14283;0;0;2;18517;99;7;26;0;200
CoreJJ;SUPPORT;TL;LNG;Hang;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Blue;00:34:33;Alistar;Nautilus;Leona;Sejuani;Leona;Rell;Loss;9;6;2;1;11;0;6;8;1.3;29;0;0;0.8;7450;216;0.126;116;58;12;20;18;3.36;1.68;0.58;0.35;0.385;3096;511;2230;355;90;0.045;0.23;0.889;0;0;0;0;0;-426;0;-256;-1;0;0;0;1616;0;23950;1578;20;44;17591;177;23;36;0;0
Zika;TOP;LNG;TL;Impact;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Red;00:34:33;Ziggs;Yone;Rumble;Skarner;Rumble;Jax;Win;20;9;2;1;18;6;3;10;5.3;265;28;0;7.7;14819;429;0.221;34;13;4;7;7;0.98;0.38;0.2;0.12;0.104;21560;706;20570;284;624;0.244;0.46;0.8;0;1;0;0;0;505;13;548;1;0;3549;3549;4254;0;27468;0;13;441;26569;121;9;30;200;400
WeiWei;JUNGLE;LNG;TL;UmTi;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Red;00:34:33;Aurora;Poppy;Jhin;Jax;Sejuani;Skarner;Win;20;9;2;1;16;0;1;17;17;212;168;0;6.1;11496;333;0.171;69;15;20;15;13;2;0.43;0.43;0.58;0.21;11193;6270;4189;734;324;0.127;0.49;0.85;0;0;0;0;0;10;4;344;0;0;724;724;15848;346;47612;1621;29;486;36362;47;16;33;0;0
Scout;MID;LNG;TL;APA;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Red;00:34:33;Lucian;Renekton;Tristana;Kaisa;Tristana;Neeko;Win;20;9;2;1;18;5;1;10;15;316;56;0;9.1;16034;464;0.239;55;13;19;3;3;1.59;0.38;0.09;0.55;0.168;24878;21618;1632;1628;720;0.282;0.43;0.75;0;0;0;0;0;-730;-29;-1833;-1;0;7908;7908;6453;0;13879;0;12;247;19950;16;4;27;150;0
GALA;ADCARRY;LNG;TL;Yeon;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Red;00:34:33;Taliyah;Maokai;Rell;Neeko;Jhin;Kaisa;Win;20;9;2;1;17;9;1;9;18;316;9;0;9.1;16572;480;0.247;42;8;11;1;1;1.22;0.23;0.03;0.32;0.128;24683;21071;3120;492;714;0.28;0.52;0.9;0;1;1;0;0;831;1;-1046;-1;0;6052;6052;4640;0;6218;0;38;220;10949;43;2;18;50;350
Hang;SUPPORT;LNG;TL;CoreJJ;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;5;Red;00:34:33;Nautilus;Alistar;Sejuani;Leona;Rell;Leona;Win;20;9;2;1;13;0;3;15;5;32;0;0;0.9;8276;240;0.123;128;63;18;16;14;3.7;1.82;0.46;0.52;0.39;5910;659;3819;1432;171;0.067;0.43;0.75;0;0;0;0;0;426;0;256;1;0;2545;2545;897;0;21100;0;38;99;15562;69;19;34;0;0
Doran;TOP;HLE;PSG;Azhi;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;6;Blue;00:28:55;Skarner;Poppy;Yone;Sejuani;Gnar;Jax;Win;17;9;2;1;16;5;1;10;15;250;20;0;8.6;13109;453;0.22;34;11;8;7;7;1.18;0.38;0.24;0.28;0.123;18861;15731;2632;498;652;0.243;0.52;0.882;0;0;1;0;0;493;49;-417;0;0;7792;7792;2179;0;16697;0;30;394;16403;25;8;26;0;0
